categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
empieza_con_mayuscula,Caravaca,Caravaca,7RMcPmO,ID_Y_HEADER_EXISTEN,7RMcPmO,Caravaca
empieza_con_mayuscula,Carracuca,Carracuca,7fGQZiD,ID_Y_HEADER_EXISTEN,7fGQZiD,Carracuca
empieza_con_mayuscula,Casio,Casio,7p9MO7l,ID_Y_HEADER_EXISTEN,7p9MO7l,Casio
empieza_con_mayuscula,Caín,Caín,6dhjQcK,ID_Y_HEADER_EXISTEN,6dhjQcK,Caín
mayusculas,CD,CD,846shPv,ID_Y_HEADER_EXISTEN,846shPv,CD
mayusculas,CD-ROM,CD-ROM,848XxEW,ID_Y_HEADER_EXISTEN,848XxEW,CD-ROM
empieza_con_mayuscula,Ceilán,Ceilán,87fFGPO,ID_Y_HEADER_EXISTEN,87fFGPO,Ceilán
empieza_con_mayuscula,Celsius,Celsius,8AUbMc4,ID_Y_HEADER_EXISTEN,8AUbMc4,Celsius
empieza_con_mayuscula,Chagas,Chagas,8TG2Y1j,ID_Y_HEADER_EXISTEN,8TG2Y1j,Chagas
empieza_con_mayuscula,Chiapa,Chiapa,8hyRAJC,ID_Y_HEADER_EXISTEN,8hyRAJC,Chiapa
empieza_con_mayuscula,Cobos,Cobos,9XllUyQ,ID_Y_HEADER_EXISTEN,9XllUyQ,Cobos
empieza_con_mayuscula,Compostela,Compostela,A2W8Ict,ID_Y_HEADER_EXISTEN,A2W8Ict,Compostela
empieza_con_mayuscula,Congreve,Congreve,AJkPBQa,ID_Y_HEADER_EXISTEN,AJkPBQa,Congreve
empieza_con_mayuscula,Constantinopla,Constantinopla,AR98ykC,ID_Y_HEADER_EXISTEN,AR98ykC,Constantinopla
empieza_con_mayuscula,Coria,Coria,AsN6BCQ,ID_Y_HEADER_EXISTEN,AsN6BCQ,Coria
empieza_con_mayuscula,Corán,Corán,AoOGgUs,ID_Y_HEADER_EXISTEN,AoOGgUs,Corán
