categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
contiene_espacios,a sensu contrario,a sensu contrario,3xNuNuB,NINGUNO,,
contiene_espacios,a simili,a simili,40P0NEL,NINGUNO,,
termina_con_guion,a-,a-,003XJY1,ID_EXISTE_HEADER_NO,,a-<sup>1</sup>
termina_con_guion,a-,a-,006hGa6,ID_EXISTE_HEADER_NO,,a-<sup>2</sup>
empieza_con_mayuscula,Abraham,Abraham,0A3RgnP,ID_Y_HEADER_EXISTEN,0A3RgnP,Abraham
empieza_con_mayuscula,Abrahán,Abrahán,0A5CVRj,ID_Y_HEADER_EXISTEN,0A5CVRj,Abrahán
mayusculas,ABS,ABS,0BytV56,ID_Y_HEADER_EXISTEN,0BytV56,ABS
contiene_espacios,ad libitum,ad libitum,0m3VSvG,NINGUNO,,
contiene_espacios,ad limina,ad limina,0m7crM7,NINGUNO,,
contiene_espacios,ad litteram,ad litteram,0m8gjWK,NINGUNO,,
contiene_espacios,ad nauseam,ad nauseam,0n7ESlF,NINGUNO,,
contiene_espacios,ad nutum,ad nutum,0nEwxpa,NINGUNO,,
contiene_espacios,ad pedem litterae,ad pedem litterae,0pIkOuK,NINGUNO,,
contiene_espacios,ad perpetuam,ad perpetuam,0pK95xy,NINGUNO,,
contiene_espacios,ad personam,ad personam,0pL4UU7,NINGUNO,,
contiene_espacios,ad quem,ad quem,0pLV5dW,NINGUNO,,
contiene_espacios,ad referendum,ad referendum,0pvnJ9h,NINGUNO,,
contiene_espacios,ad tempus,ad tempus,0qV5tGo,NINGUNO,,
contiene_espacios,ad valorem,ad valorem,0sGeln3,NINGUNO,,
termina_con_guion,ad-,ad-,0gYPN6u,ID_Y_HEADER_EXISTEN,0gYPN6u,ad-
mayusculas,ADN,ADN,0myw40a,ID_Y_HEADER_EXISTEN,0myw40a,ADN
mayusculas,ADSL,ADSL,0qJoM3u,ID_Y_HEADER_EXISTEN,0qJoM3u,ADSL
empieza_con_mayuscula,Adviento,Adviento,0stC04n,ID_Y_HEADER_EXISTEN,0stC04n,Adviento
