old_rae_id,old_entry,status,current_rae_ids,current_headers,matching_current_ids,matching_current_headers,error
8v3lf0W,chivata,RELATED_RESULT,8vCCfrp,"chivato, ta",,,
411V9qv,-asis,RELATED_RESULT,Y1ULCxP,-sis,,,
2iq6Gbx,annamita,RELATED_RESULT,2Vz8Ndr,anamita,,,
2VoKg5m,analítica,RELATED_RESULT,2VoZJgn,"analítico, ca",,,
AimuwiA,coordenada,RELATED_RESULT,AinMQRZ,"coordenado, da",,,
44WBVCI,asquenazí,RELATED_RESULT,41GB6JM,askenazí,,,
6o5pbzq,california,RELATED_RESULT,6oCO7Gs,"californio<sup>1</sup>, nia",,,
2gIELlE,anhidrido,RELATED_RESULT,2gIFJDx,anhídrido,,,
7L6ybzy,capnomancía,RELATED_RESULT,7L6ovBf,capnomancia,,,
2U8l9cP,anacardina,RELATED_RESULT,2U8zTpo,"anacardino, na",,,
EEq4f2o,dueña,RELATED_RESULT,EEsL9LT,"dueño, ña",,,
78155oN,cangagua,RELATED_RESULT,785OcAo,cangahua,,,
2eKnwDU,anglística,RELATED_RESULT,2eMCzHm,"anglístico, ca",,,
2TRlsTw,an-,RELATED_RESULT,006hGa6,a-<sup>2</sup>,,,
6bc0gYY,cafetera,RELATED_RESULT,6bdGFJA,"cafetero, ra",,,
5GXPgZO,bebedera,RELATED_RESULT,5GY3AtL,"bebedero, ra",,,
AcCmhh2,contrargumento,RELATED_RESULT,AWPTLPw | AWP2jAR,contraargumento | contraargumentar,,,
75OcN9t,candangas,RELATED_RESULT,75LK5Zv,candanga,,,
5YBnKmy,biodinámica,RELATED_RESULT,5YC0mSN,"biodinámico, ca",,,
942ytj8,chupa-chup,RELATED_RESULT,94925Lg,chupachups,,,
5LFAj0t,bencinera,RELATED_RESULT,5LJtHsR,"bencinero, ra",,,
6CoH6Gb,búcare,RELATED_RESULT,6Cn3RXS,bucare,,,
BVyiHCm,cúbica,RELATED_RESULT,BW3fPiX,"cúbico, ca",,,
6sJ19bp,calva,RELATED_RESULT,6sZxbij | 6sKPVyZ,"calvo, va | calvar",,,
1Om3Ezw,ajorro,RELATED_RESULT,MXT39Ri | 1Oi0QI8 | MXT39Ri#2GTnCfF,jorro | ajorrar | jorro,,,
8x1itAO,chocolatera,RELATED_RESULT,8x69Qy3,"chocolatero, ra",,,
BlnavR5,curva,RELATED_RESULT,Blx6XNT | BloNJ38,"curvo, va | curvar",,,
7CpS8oL,cantinera,RELATED_RESULT,7Cpn3pd,"cantinero, ra",,,
8W8okFf,chamicera,RELATED_RESULT,8WA2lGq,"chamicero, ra",,,
BkRqJJC,currutaca,RELATED_RESULT,BkSqHj3,"currutaco, ca",,,
B1hYxB4,cortapapel,RELATED_RESULT,B1hspnw,cortapapeles,,,
3Esaliv,apolonida,RELATED_RESULT,3EtEzRl,apolónida,,,
1fivPao,alderredor,RELATED_RESULT,CIY0TGI | CIY0TGI#1QzuHsq,derredor | derredor,,,
6NyKCwi,caballera,RELATED_RESULT,6OGpVP7,"caballero, ra",,,
0B3d5sT,abrigada,RELATED_RESULT,0B5Nz9K | 0B7O2Zd,"abrigado, da | abrigar",,,
CAdTEhm,demoscopía,RELATED_RESULT,CAd1KFY,demoscopia,,,
0ccrWQf,activa,RELATED_RESULT,0clfXYb | 0cgpL3L,"activo, va | activar",,,
BifTKWc,curativa,RELATED_RESULT,BijP3Q0,"curativo, va",,,
BWnmiPN,cubrecamas,RELATED_RESULT,BWmgAqQ,cubrecama,,,
4z27tUl,bañera,RELATED_RESULT,4z2q42m,"bañero, ra",,,
2wqz046,antitraspirante,RELATED_RESULT,2wqm24u,antitranspirante,,,
8RBGenh,chacarera,RELATED_RESULT,8RCOYmZ,"chacarero, ra",,,
5R7VT7A,bezar,RELATED_RESULT,5R37SBE,bezaar,,,
ADd6jnU,conejuna,RELATED_RESULT,ADf7k9o,"conejuno, na",,,
1oNT36b,algún,RELATED_RESULT,1oOa9Jk,"alguno, na",,,
6u3QplN,camarera,RELATED_RESULT,6uEvTHn,"camarero, ra",,,
EBiAjUr,dramática,RELATED_RESULT,EBl3HO2,"dramático, ca",,,
DCp4xqx,desmotadora,RELATED_RESULT,DCo2pcH,"desmotador, ra",,,
9P3x2Wm,clara,RELATED_RESULT,9PhBhLd,"claro, ra",,,
93m2c2d,chunga,RELATED_RESULT,93nYccp,"chungo, ga",,,
7jM21MO,carst,RELATED_RESULT,Mg91Hf8,karst,,,
BWgncK5,cubrecabezas,RELATED_RESULT,BWfL1Dg,cubrecabeza,,,
ADNk6XP,coneja,RELATED_RESULT,ADak4g1,"conejo, ja",,,
6T0lbAk,cabrita,RELATED_RESULT,6T606b7,"cabrito, ta",,,
DeVmnYG,dialéctica,RELATED_RESULT,DeWShVH,"dialéctico, ca",,,
7oByWZN,casera,RELATED_RESULT,7oNbEls,"casero, ra",,,
DiMRh9x,diesi,RELATED_RESULT,DiMhzOO,diesis,,,
46SgWle,"-astrón, na",RELATED_RESULT,46kfNvM,"astrónomo, ma",,,
6OE6Ftk,caballeriza,RELATED_RESULT,6OF33GD,"caballerizo, za",,,
0ubbq5X,aeronáutica,RELATED_RESULT,0ubm1K5,"aeronáutico, ca",,,
5YjLfmg,bioinformática,RELATED_RESULT,5YkjPtZ,"bioinformático, ca",,,
406ILth,asimétrica,RELATED_RESULT,406k0fU,"asimétrico, ca",,,
1o252mY,alguacila,RELATED_RESULT,1ny83D5,"alguacil, la",,,
2bbUVYj,anemona,RELATED_RESULT,2bfwujO,anémona,,,
7g61wVr,carrasposa,RELATED_RESULT,7gAKR8h,"carrasposo, sa",,,
1gTIdTP,alectomancía,RELATED_RESULT,1gRivXz,alectomancia,,,
3UdKnnj,areíto,RELATED_RESULT,3UdGuUV,areito,,,
6jkCh8Q,calchona,RELATED_RESULT,6jjpPAp,"calchón, na",,,
1hfBEGl,alelí,RELATED_RESULT,1otQrfV,alhelí,,,
4vafaRL,bámbara,RELATED_RESULT,4vaeRMK,bambara,,,
77SZsTD,canelada,RELATED_RESULT,77WcDhh,"canelado, da",,,
5IH0QvJ,beguina,RELATED_RESULT,5IIXXiC,"beguino, na",,,
1nciN5y,algodonosa,RELATED_RESULT,1ndmyFm,"algodonoso, sa",,,
5IRbmEw,beisbol,RELATED_RESULT,5ITUgvf,béisbol,,,
1M4SbWm,ajamonada,RELATED_RESULT,1M4cARv | 1M4im8c,"ajamonado, da | ajamonarse",,,
Akis7FI,copetona,RELATED_RESULT,AkdBnGS | AkfBhdB,"copetón<sup>1</sup>, na | copetón<sup>2</sup>, na",,,
7DS08Dv,cantonera,RELATED_RESULT,7DUi0xw,"cantonero, ra",,,
45Zlbwf,-astra,RELATED_RESULT,469POuD,"-astro, tra",,,
6ecuDJF,cajonera,RELATED_RESULT,6eeKhO1,"cajonero, ra",,,
3yCWYes,aserradora,RELATED_RESULT,3yBCtQO,"aserrador, ra",,,
6KqUz9P,buscabullas,RELATED_RESULT,6KlSkPr,buscabulla,,,
1Lt96si,-aja,RELATED_RESULT,1Nu2z6d,"-ajo, ja",,,
3UT4ta2,-areda,RELATED_RESULT,ENv5qJU,"-edo, da",,,
08IftT5,abonadora,RELATED_RESULT,08IZq5z,"abonador, ra",,,
8PSr2Rd,cesárea,RELATED_RESULT,8PVCFEt,"cesáreo, a",,,
BdTUpob,culinaria,RELATED_RESULT,BdUqRdI,"culinario, ria",,,
74klTGW,cancina,RELATED_RESULT,74kEN6h,"cancín, na",,,
45mqEge,astrakán,RELATED_RESULT,45gGl6Z,astracán,,,
7SFAST5,carbonera,RELATED_RESULT,7SL3EV6,"carbonero, ra",,,
BWt0rcz,cubreobjeto,RELATED_RESULT,BWv05VW,cubreobjetos,,,
12KiSIg,aga,RELATED_RESULT,12LDRlJ,agá,,,
73luDzY,canceladora,RELATED_RESULT,73l2Wsw,"cancelador, ra",,,
0uxL76E,aeróstato,RELATED_RESULT,0uvYnTX,aerostato,,,
Dr0EbgN,directiva,RELATED_RESULT,Dr0oRwT,"directivo, va",,,
6YCTngC,cachonda,RELATED_RESULT,6YMKxqN,"cachondo, da",,,
51RHZZX,baraúnda,RELATED_RESULT,50I0glY,barahúnda,,,
AJsF2l2,congrua,RELATED_RESULT,AK476c6,"congruo, grua",,,
05MCrQK,abierta,RELATED_RESULT,05NHYpw | 0BIq0lQ,"abierto, ta | abrir",,,
72ztZtL,canastera,RELATED_RESULT,730Tmto,"canastero, ra",,,
3aPm9R1,armadora,RELATED_RESULT,3aKWEfi,"armador, ra",,,
2wYmOyv,antístrofa,RELATED_RESULT,2wXzVwL,antistrofa,,,
8zCQC1d,choricera,RELATED_RESULT,8zJmuOl | 8zPcjNG,"choricero<sup>1</sup>, ra | choricero<sup>2</sup>, ra",,,
7qCjI5N,castaña,RELATED_RESULT,7qVigfP,"castaño, ña",,,
6e4QhnE,cajera,RELATED_RESULT,6eFNou5,"cajero, ra",,,
9M8wCXn,cistoscopía,RELATED_RESULT,9M7x0Xs,cistoscopia,,,
71vKMUT,"canáceo, a",RELATED_RESULT,79uddV9,"cannáceo, a",,,
6OdrTuQ,cabañera,RELATED_RESULT,6Oq2pTU,"cabañero, ra",,,
41RlV0z,asna,RELATED_RESULT,41mQdfw,"asno, na",,,
6cSC5PW,caganido,RELATED_RESULT,6cULixs,caganidos,,,
70OdnwF,campera,RELATED_RESULT,70XA0mY,"campero, ra",,,
0ryHaU5,-adura,RELATED_RESULT,EHGi0dJ,-dura,,,
36BVZHD,aparthotel,RELATED_RESULT,36FNo5r,apartotel,,,
6zyeRsF,campechana,RELATED_RESULT,707UlUd,"campechano, na",,,
7lPplNw,cartuja,RELATED_RESULT,7lQq9MT,"cartujo, ja",,,
1oQY99V,alhacena,RELATED_RESULT,1QWx7Tw,alacena,,,
6dG5xw6,caí,RELATED_RESULT,82F7jd1 | 6bQOL4n,cay | caer,,,
46bhajo,astronáutica,RELATED_RESULT,46dyNea,"astronáutico, ca",,,
6LoJHM9,bustrofedón,RELATED_RESULT,6LnTpii,bustrófedon,,,
6xvn5QH,caminí,RELATED_RESULT,6N1ceJ0,caaminí,,,
DhMugFo,didáctica,RELATED_RESULT,DhRTzsG,"didáctico, ca",,,
6chWtak,cagatinta,RELATED_RESULT,6cjANWQ,cagatintas,,,
481XZob,-ata,RELATED_RESULT,4GZKKGk,"-ato<sup>1</sup>, ta",,,
9G2HId2,cinegética,RELATED_RESULT,9G2TkF7,"cinegético, ca",,,
6ukAnk3,camaronera,RELATED_RESULT,6ukc385,"camaronero, ra",,,
3YOm1pz,-aria,RELATED_RESULT,3YvWLaw,"-ario, ria",,,
7KQuZsP,capitana,RELATED_RESULT,7KQWsGX,"capitán, na",,,
BRpCzFC,cuán,RELATED_RESULT,BSMOJmo,"cuánto, ta",,,
5KfFKaZ,bemba,RELATED_RESULT,5KufU4R,"bembo, ba",,,
BfLqLmJ,cumba,RELATED_RESULT,BfQWMpk,"cumbo, ba",,,
6EZ15Wp,buenmozo,RELATED_RESULT,PyIxduT | PyIxduT#51vdLgh,"mozo<sup>2</sup>, za | mozo<sup>2</sup>, za",,,
8QNNVMi,"-cete, ta",RELATED_RESULT,XjmcBhM,setenta,,,
DEKdXai,deso,RELATED_RESULT,Cndk8US,"dese, sa",,,
B1zmWYA,cortaviento,RELATED_RESULT,B20ThW6,cortavientos,,,
7DXKGly,cantora,RELATED_RESULT,7DVvxzc,"cantor, ra",,,
8OZmHzx,certificatoria,RELATED_RESULT,8OanFNj,"certificatorio, ria",,,
1ODlufO,-ajón,RELATED_RESULT,R3Ff5cR,"-ón<sup>1</sup>, na",,,
Ae8T7qw,contrayerba,RELATED_RESULT,AZJT1s6,contrahierba,,,
2Xiwer9,-ancia,RELATED_RESULT,QJb1Ewu,-ncia,,,
16UTRox,agonística,RELATED_RESULT,16VyPbK,"agonístico, ca",,,
3bdHChy,armoníaco,RELATED_RESULT,3bct1NA,armoniaco,,,
3J9k4Dc,apretadera,RELATED_RESULT,3J9rXg0,"apretadero, ra",,,
1hnfNB6,alemana,RELATED_RESULT,1hn1XWS,"alemán, na",,,
5HgPAQm,becqueriana,RELATED_RESULT,5Hniq3M,"becqueriano, na",,,
B5D3FTh,cosmética,RELATED_RESULT,B5F3CxO,"cosmético, ca",,,
41AeRM9,askenazi,RELATED_RESULT,41GB6JM,askenazí,,,
7LeavSL,cappa,RELATED_RESULT,Mfzhpxy,kappa,,,
6C3ZmTE,bruta,RELATED_RESULT,6CGZEfd,"bruto, ta",,,
B5WTKPc,cosmonáutica,RELATED_RESULT,B5ZATVe,"cosmonáutico, ca",,,
9YxmVij,cocedera,RELATED_RESULT,9Yyzqi3,"cocedero, ra",,,
7jpp0Nz,cártel,RELATED_RESULT,7jpYEK7,cartel<sup>2</sup>,,,
0cGWrDR,acrótera,RELATED_RESULT,0cGDTuq,acrotera,,,
BbaPSRf,cui,RELATED_RESULT,BnXwuU7,cuy,,,
5iw3TVM,bocaza,RELATED_RESULT,5iwtz2O,bocazas,,,
ASBxzXC,consubstanciarse,RELATED_RESULT,ATDdwuU,consustanciarse,,,
7l6cAWn,cartonera,RELATED_RESULT,7l9Vdh2,"cartonero, ra",,,
6ZfpqVS,cacoquimia,RELATED_RESULT,6ZlYeNN,"cacoquimio, mia",,,
BaOvTCa,cuentística,RELATED_RESULT,BaPzXUO,"cuentístico, ca",,,
AOmj0Po,consejera,RELATED_RESULT,AOnzJK2,"consejero, ra",,,
3V9YwMg,aréola,RELATED_RESULT,3V79R5n,areola,,,
0wdi1ef,afeitadora,RELATED_RESULT,0wbT4vO,"afeitador, ra",,,
5SBnMM3,bibliomancía,RELATED_RESULT,5S9rQpT,bibliomancia,,,
6d4BZnD,cahuama,RELATED_RESULT,6cyP0bz,caguama,,,
EN2bZvI,eczema,RELATED_RESULT,EJE3d7t,eccema,,,
DjAk5RD,diezmilmillonésima,RELATED_RESULT,DjAlTeV,"diezmilmillonésimo, ma",,,
6XQT0SH,cachiporrera,RELATED_RESULT,6XRwzKP,"cachiporrero, ra",,,
7UxH81g,cardíaca,RELATED_RESULT,7V3pfqt,"cardíaco, ca",,,
3vysEfT,ascética,RELATED_RESULT,3w0Of9Y,"ascético, ca",,,
BYujfdA,cuculmeca,RELATED_RESULT,BYvNeUn,"cuculmeque, ca",,,
ASB7OkO,consubstancialidad,RELATED_RESULT,ATCDYsh,consustancialidad,,,
EMopa0C,ecumene,RELATED_RESULT,EMqfWDW,ecúmene,,,
AdQnRrx,contrataque,RELATED_RESULT,AWY5fP3 | AWVad4j,contraataque | contraatacar,,,
9bpUDd4,cocoroca,RELATED_RESULT,9bqtGp7,"cocoroco, ca",,,
942C4Mo,chupachup,RELATED_RESULT,94925Lg,chupachups,,,
3Md6DX9,aquesto,RELATED_RESULT,3MckQqi,"aqueste, ta",,,
3uPK9SU,asafétida,RELATED_RESULT,3tdnEqh | 3tdnEqh#0IaRCFI,asa<sup>2</sup> | asa<sup>2</sup>,,,
1J10OIj,ahorrativa,RELATED_RESULT,1J7e80z,"ahorrativo, va",,,
8zvTY5P,chorras,RELATED_RESULT,8zu2YZ1 | 90EsPY5,"chorra | chorro<sup>2</sup>, rra",,,
3sjnVrP,artroscopía,RELATED_RESULT,3senZyT,artroscopia,,,
1Hu59n9,ahogadora,RELATED_RESULT,1HsWtmX,"ahogador, ra",,,
5PJk372,besapié,RELATED_RESULT,5PJrA6q,besapiés,,,
1j3fgvF,alevosa,RELATED_RESULT,1jDDBFH,"alevoso, sa",,,
3sJMItT,artos,RELATED_RESULT,3s9L6pn,arto,,,
1GEXyaI,aguzadora,RELATED_RESULT,1GDEAIT,"aguzador, ra",,,
0UA3ZBx,-ación,RELATED_RESULT,9I27Gyi,-ción,,,
7Jqm3CJ,capirotada,RELATED_RESULT,7JwRKul,"capirotado, da",,,
3Bnk9aC,aplanadora,RELATED_RESULT,3BmF2qv,"aplanador, ra",,,
9Ery70I,cinc,RELATED_RESULT,cRNNLet,zinc,,,
3nOEaqM,-arrón,RELATED_RESULT,R3Ff5cR,"-ón<sup>1</sup>, na",,,
1G471f3,aguzadera,RELATED_RESULT,1G4Zk3D,"aguzadero, ra",,,
AieqjIo,cooperativa,RELATED_RESULT,AigzAPz,"cooperativo, va",,,
6Ox2dNI,cabaretera,RELATED_RESULT,6Oy0Rfc,"cabaretero, ra",,,
7WqMnWP,cargada,RELATED_RESULT,7WvT83H | 7XB9iU3,"cargado, da | cargar",,,
