table,unique_keys
rae_keys_-,270
rae_keys_a,13749
rae_keys_b,4597
rae_keys_c,15029
rae_keys_d,7169
rae_keys_e,8716
rae_keys_f,3636
rae_keys_g,3557
rae_keys_h,2817
rae_keys_i,4082
rae_keys_j,1140
rae_keys_k,150
rae_keys_l,3021
rae_keys_m,6719
rae_keys_n,1733
rae_keys_o,1855
rae_keys_p,9614
rae_keys_q,624
rae_keys_r,5409
rae_keys_s,5875
rae_keys_t,6002
rae_keys_u,612
rae_keys_v,2448
rae_keys_w,42
rae_keys_x,72
rae_keys_y,306
rae_keys_z,906
rae_keys_ñ,107
rae_keys_‒,10
